 case_id,Code,group,infection_case,confirmed,latitude,longitude
6000012,,FALSE,contact with patient,190,-,-
6000013,,FALSE,etc,133,-,-
6100001,,TRUE,Shincheonji Church,32,-,-
6100002,61020,TRUE,Geochang Church,10,35.68556,127.9127
6100003,61110,TRUE,Wings Tower,9,35.164845,128.126969
6100004,61020,TRUE,Geochang-gun Woongyang-myeon,8,35.805681,127.917805
6100005,61130,TRUE,Hanmaeum Changwon Hospital,7,35.22115,128.6866
6100006,61120,TRUE,Changnyeong Coin Karaoke,7,35.54127,128.5008
6100007,61090,TRUE,Soso Seowon,3,35.338811,129.017508
6100008,,TRUE,Itaewon Clubs,2,-,-
6100009,,TRUE,Onchun Church,2,-,-
6100010,,FALSE,overseas inflow,26,-,-
6100011,,FALSE,contact with patient,6,-,-
6100012,,FALSE,etc,20,-,-
7000001,,FALSE,overseas inflow,14,-,-
7000002,,FALSE,contact with patient,0,-,-
7000003,,FALSE,etc,4,-,-
7000004,,TRUE,Itaewon Clubs,1,-,-
